   Date_time,             Date,                 X,             Y,              hNew,              thNew,          Temp
      38816.041667,     04/09/2006,          8.2100,        149.9969,     -20000.0000,         -0.0000,          3.6281
      38816.041667,     04/09/2006,         12.2400,        149.9969,     -20000.0000,         -0.0000,          3.1993
      38816.041667,     04/09/2006,         17.8900,        149.9969,     -20000.0000,         -0.0000,          3.3066
      38816.041667,     04/09/2006,         25.8000,        149.9969,     -20000.0000,         -0.0000,          3.6493
      38816.041667,     04/09/2006,         38.1000,        149.9969,     -20000.0000,         -0.0000,          3.6972
      38816.083333,     04/09/2006,          0.0000,        145.0000,     -20000.0000,****************,          4.9789
      38816.083333,     04/09/2006,          3.2700,        145.0000,     -20000.0000,****************,          4.7786
      38816.083333,     04/09/2006,          5.3300,        145.0000,     -20000.0000,****************,          4.3249
      38816.083333,     04/09/2006,          8.2100,        145.0000,     -20000.0000,****************,          3.9818
      38816.083333,     04/09/2006,         12.2400,        145.0000,     -20000.0000,****************,          3.7136
      38816.083333,     04/09/2006,         17.8900,        145.0000,     -20000.0000,****************,          3.7724
