                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  37714.5833  04/03/2003        0.0000        2.5373        0.0000        0.0000        0.0000        0.0000
  37714.6250  04/03/2003        0.0000        2.6107        0.0000        0.0000        0.0000        0.0000
  37714.6667  04/03/2003        0.0000        3.1963        0.0000        0.0000        0.0000        0.0000
  37714.7083  04/03/2003        0.0000        4.0196        0.0000        0.0000        0.0000        0.0000
  37714.7500  04/03/2003        0.0000        4.7624        0.0000        0.0000        0.0000        0.0000
  37714.7917  04/03/2003        0.0000        5.1580        0.0000        0.0000        0.0000        0.0000
  37714.8333  04/03/2003        0.0000        5.2578        0.0000        0.0000        0.0000        0.0000
  37714.8750  04/03/2003        0.0000        5.3050        0.0000        0.0000        0.0000        0.0000
  37714.9167  04/03/2003        0.0000        5.3287        0.0000        0.0000        0.0000        0.0000
  37714.9583  04/03/2003        0.0000        5.3521        0.0000        0.0000        0.0000        0.0000
  37715.0000  04/04/2003        0.3715        4.3338        0.0000        0.0000        0.0000        0.0000
  37715.0417  04/04/2003        2.5432        2.5005        0.0000        0.0000        0.0000        0.0000
  37715.0833  04/04/2003        4.4767        4.4529        0.0000        0.0000        0.0000        0.0000
  37715.1250  04/04/2003        2.4384        2.4315        0.0000        0.0000        0.0000        0.0000
  37715.1667  04/04/2003        7.1628        7.1576        0.0000        0.0000        0.0000        0.0000
  37715.2083  04/04/2003        7.2118        7.3010        0.0504        0.1221        0.0000        0.0504
  37715.2500  04/04/2003        4.1374        4.3956        0.0000        0.0000        0.0000        0.0000
  37715.2917  04/04/2003        0.6548        0.6451        0.0000        0.0000        0.0000        0.0000
  37715.3333  04/04/2003        0.0000       -0.0276        0.0000        0.0000        0.0000        0.0000
  37715.3750  04/04/2003        0.0000       -0.0616        0.0000        0.0000        0.0000        0.0000
  37715.4167  04/04/2003        0.0000       -0.1286        0.0000        0.0000        0.0000        0.0000
  37715.4583  04/04/2003        0.0000       -0.2261        0.0000        0.0000        0.0000        0.0000
  37715.5000  04/04/2003        0.1238       -0.1610        0.0000        0.0000        0.0000        0.0000
  37715.5417  04/04/2003        1.3430        0.9655        0.0000        0.0000        0.0000        0.0000
  37715.5833  04/04/2003        2.8194        2.3404        0.0000        0.0000        0.0000        0.0000
  37715.6250  04/04/2003        0.0000       -0.4170        0.0000        0.0000        0.0000        0.0000
  37715.6667  04/04/2003        0.0000       -0.2787        0.0000        0.0000        0.0000        0.0000
  37715.7083  04/04/2003        0.0000       -0.2399        0.0000        0.0000        0.0000        0.0000
  37715.7500  04/04/2003        0.0000       -0.1084        0.0000        0.0000        0.0000        0.0000
  37715.7917  04/04/2003        0.0000       -0.0550        0.0000        0.0000        0.0000        0.0000
  37715.8333  04/04/2003        0.0000       -0.0470        0.0000        0.0000        0.0000        0.0000
  37715.8750  04/04/2003        0.0000       -0.0431        0.0000        0.0000        0.0000        0.0000
  37715.9167  04/04/2003        0.0000       -0.0384        0.0000        0.0000        0.0000        0.0000
  37715.9583  04/04/2003        0.0000       -0.0370        0.0000        0.0000        0.0000        0.0000
  37716.0000  04/05/2003        0.0000       -0.0464        0.0000        0.0000        0.0000        0.0000
  37716.0417  04/05/2003        0.0000       -0.0613        0.0000        0.0000        0.0000        0.0000
  37716.0833  04/05/2003        0.0000       -0.0774        0.0000        0.0000        0.0000        0.0000
  37716.1250  04/05/2003        0.0000       -0.0718        0.0000        0.0000        0.0000        0.0000
  37716.1667  04/05/2003        0.0000       -0.0647        0.0000        0.0000        0.0000        0.0000
  37716.2083  04/05/2003        0.0000       -0.0480        0.0000        0.0000        0.0000        0.0000
  37716.2500  04/05/2003        0.0000       -0.0445        0.0000        0.0000        0.0000        0.0000
  37716.2917  04/05/2003        0.0000       -0.1465        0.0000        0.0000        0.0000        0.0000
  37716.3333  04/05/2003        0.0000       -0.5422        0.0000        0.0000        0.0000        0.0000
  37716.3750  04/05/2003        0.0000       -0.9102        0.0000        0.0000        0.0000        0.0000
  37716.4167  04/05/2003        0.0000       -1.1435        0.0000        0.0000        0.0000        0.0000
  37716.4583  04/05/2003        0.0000       -1.4946        0.0000        0.0000        0.0000        0.0000
  37716.5000  04/05/2003        0.0000       -1.3597        0.0000        0.0000        0.0000        0.0000
  37716.5417  04/05/2003        0.0000       -1.4946        0.0000        0.0000        0.0000        0.0000
  37716.5833  04/05/2003        0.0000       -1.2274        0.0000        0.0000        0.0000        0.0000
  37716.6250  04/05/2003        0.0000       -1.1148        0.0000        0.0000        0.0000        0.0000
  37716.6667  04/05/2003        0.0000       -0.8112        0.0000        0.0000        0.0000        0.0000
  37716.7083  04/05/2003        0.0000       -0.5380        0.0000        0.0000        0.0000        0.0000
  37716.7500  04/05/2003        0.0000       -0.2693        0.0000        0.0000        0.0000        0.0000
  37716.7917  04/05/2003        0.0000       -0.2151        0.0000        0.0000        0.0000        0.0000
  37716.8333  04/05/2003        0.0000       -0.1821        0.0000        0.0000        0.0000        0.0000
  37716.8750  04/05/2003        0.0000       -0.1547        0.0000        0.0000        0.0000        0.0000
  37716.9167  04/05/2003        0.0000       -0.1243        0.0000        0.0000        0.0000        0.0000
  37716.9583  04/05/2003        0.0000       -0.0975        0.0000        0.0000        0.0000        0.0000
  37717.0000  04/06/2003        0.0000       -0.0814        0.0000        0.0000        0.0000        0.0000
  37717.0417  04/06/2003        0.0000       -0.0600        0.0000        0.0000        0.0000        0.0000
  37717.0833  04/06/2003        0.0000       -0.0546        0.0000        0.0000        0.0000        0.0000
  37717.1250  04/06/2003        0.0000       -0.0535        0.0000        0.0000        0.0000        0.0000
  37717.1667  04/06/2003        0.0000       -0.0558        0.0000        0.0000        0.0000        0.0000
  37717.2083  04/06/2003        0.0000       -0.0624        0.0000        0.0000        0.0000        0.0000
  37717.2500  04/06/2003        0.0000       -0.0700        0.0000        0.0000        0.0000        0.0000
  37717.2917  04/06/2003        0.0000       -0.0729        0.0000        0.0000        0.0000        0.0000
  37717.3333  04/06/2003        0.0000       -0.0571        0.0000        0.0000        0.0000        0.0000
  37717.3750  04/06/2003        0.0000       -0.0895        0.0000        0.0000        0.0000        0.0000
  37717.4167  04/06/2003        0.0000       -0.3032        0.0000        0.0000        0.0000        0.0000
  37717.4583  04/06/2003        0.7430        0.2925        0.0000        0.0000        0.0000        0.0000
  37717.5000  04/06/2003        5.8293        5.3359        0.0000        0.0000        0.0000        0.0000
  37717.5417  04/06/2003       13.4207       12.8635        0.0000        0.0000        0.0000        0.0000
  37717.5833  04/06/2003        9.2202        8.7473        0.0000        0.0000        0.0000        0.0000
  37717.6250  04/06/2003        4.2862        3.9823        0.0000        0.0000        0.0000        0.0000
  37717.6667  04/06/2003        3.9148        3.7176        0.0000        0.0000        0.0000        0.0000
  37717.7083  04/06/2003        2.3622        2.2821        0.0000        0.0000        0.0000        0.0000
  37717.7500  04/06/2003        1.0763        1.0568        0.0000        0.0000        0.0000        0.0000
  37717.7917  04/06/2003        1.0573        1.0483        0.0000        0.0000        0.0000        0.0000
  37717.8333  04/06/2003        0.0000       -0.0089        0.0000        0.0000        0.0000        0.0000
  37717.8750  04/06/2003        0.0000       -0.0087        0.0000        0.0000        0.0000        0.0000
  37717.9167  04/06/2003        0.0000       -0.0089        0.0000        0.0000        0.0000        0.0000
  37717.9583  04/06/2003        0.0000       -0.0086        0.0000        0.0000        0.0000        0.0000
  37718.0000  04/07/2003        0.0000       -0.0090        0.0000        0.0000        0.0000        0.0000
  37718.0417  04/07/2003        0.0000       -0.0099        0.0000        0.0000        0.0000        0.0000
  37718.0833  04/07/2003        0.0000       -0.0095        0.0000        0.0000        0.0000        0.0000
  37718.1250  04/07/2003        0.0000       -0.0096        0.0000        0.0000        0.0000        0.0000
  37718.1667  04/07/2003        0.0000       -0.0095        0.0000        0.0000        0.0000        0.0000
  37718.2083  04/07/2003        0.0000       -0.0094        0.0000        0.0000        0.0000        0.0000
  37718.2500  04/07/2003        0.0000       -0.0094        0.0000        0.0000        0.0000        0.0000
  37718.2917  04/07/2003        0.0000       -0.0305        0.0000        0.0000        0.0000        0.0000
  37718.3333  04/07/2003        0.0000       -0.1670        0.0000        0.0000        0.0000        0.0000
  37718.3750  04/07/2003        0.2477       -0.2230        0.0000        0.0000        0.0000        0.0000
  37718.4167  04/07/2003        3.6767        2.8835        0.0000        0.0000        0.0000        0.0000
  37718.4583  04/07/2003       11.1823       10.0857        0.0000        0.0000        0.0000        0.0000
  37718.5000  04/07/2003        8.4963        7.1136        0.0000        0.0000        0.0000        0.0000
  37718.5417  04/07/2003        2.1145        0.8358        0.0000        0.0000        0.0000        0.0000
  37718.5833  04/07/2003        0.0000       -1.0276        0.0000        0.0000        0.0000        0.0000
  37718.6250  04/07/2003        0.0000       -0.8160        0.0000        0.0000        0.0000        0.0000
  37718.6667  04/07/2003        0.0000       -0.6096        0.0000        0.0000        0.0000        0.0000
  37718.7083  04/07/2003        0.0000       -0.2901        0.0000        0.0000        0.0000        0.0000
  37718.7500  04/07/2003        0.0000       -0.0514        0.0000        0.0000        0.0000        0.0000
  37718.7917  04/07/2003        0.0000       -0.0208        0.0000        0.0000        0.0000        0.0000
  37718.8333  04/07/2003        0.0000       -0.0162        0.0000        0.0000        0.0000        0.0000
  37718.8750  04/07/2003        0.0000       -0.0141        0.0000        0.0000        0.0000        0.0000
  37718.9167  04/07/2003        0.0000       -0.0090        0.0000        0.0000        0.0000        0.0000
  37718.9583  04/07/2003        0.0000       -0.0089        0.0000        0.0000        0.0000        0.0000
  37719.0000  04/08/2003        0.0000       -0.0075        0.0000        0.0000        0.0000        0.0000
  37719.0417  04/08/2003        0.0000       -0.0036        0.0000        0.0000        0.0000        0.0000
  37719.0833  04/08/2003        0.0000       -0.0036        0.0000        0.0000        0.0000        0.0000
  37719.1250  04/08/2003        0.0000       -0.0036        0.0000        0.0000        0.0000        0.0000
  37719.1667  04/08/2003        0.0000       -0.0041        0.0000        0.0000        0.0000        0.0000
  37719.2083  04/08/2003        0.0000       -0.0055        0.0000        0.0000        0.0000        0.0000
  37719.2500  04/08/2003        0.0000       -0.0060        0.0000        0.0000        0.0000        0.0000
  37719.2917  04/08/2003        0.0000       -0.0928        0.0000        0.0000        0.0000        0.0000
  37719.3333  04/08/2003        0.0000       -0.4748        0.0000        0.0000        0.0000        0.0000
  37719.3750  04/08/2003        0.0000       -0.9916        0.0000        0.0000        0.0000        0.0000
  37719.4167  04/08/2003        0.0000       -1.4455        0.0000        0.0000        0.0000        0.0000
  37719.4583  04/08/2003        0.0000       -1.7712        0.0000        0.0000        0.0000        0.0000
  37719.5000  04/08/2003        0.0000       -1.9748        0.0000        0.0000        0.0000        0.0000
  37719.5417  04/08/2003        0.0000       -1.9777        0.0000        0.0000        0.0000        0.0000
  37719.5833  04/08/2003        0.0000       -1.8841        0.0000        0.0000        0.0000        0.0000
  37719.6250  04/08/2003        0.0000       -1.6088        0.0000        0.0000        0.0000        0.0000
  37719.6667  04/08/2003        0.0000       -1.2393        0.0000        0.0000        0.0000        0.0000
  37719.7083  04/08/2003        0.0000       -0.7695        0.0000        0.0000        0.0000        0.0000
  37719.7500  04/08/2003        0.0000       -0.3059        0.0000        0.0000        0.0000        0.0000
  37719.7917  04/08/2003        0.0000       -0.0506        0.0000        0.0000        0.0000        0.0000
  37719.8333  04/08/2003        0.0000       -0.0271        0.0000        0.0000        0.0000        0.0000
  37719.8750  04/08/2003        0.0000       -0.0218        0.0000        0.0000        0.0000        0.0000
  37719.9167  04/08/2003        0.0000       -0.0240        0.0000        0.0000        0.0000        0.0000
  37719.9583  04/08/2003        0.0000       -0.0187        0.0000        0.0000        0.0000        0.0000
  37720.0000  04/09/2003        0.0000       -0.0187        0.0000        0.0000        0.0000        0.0000
  37720.0417  04/09/2003        0.0000       -0.0235        0.0000        0.0000        0.0000        0.0000
  37720.0833  04/09/2003        0.0000       -0.0146        0.0000        0.0000        0.0000        0.0000
  37720.1250  04/09/2003        0.0000       -0.0061        0.0000        0.0000        0.0000        0.0000
  37720.1667  04/09/2003        0.0000       -0.0061        0.0000        0.0000        0.0000        0.0000
  37720.2083  04/09/2003        0.0000       -0.0061        0.0000        0.0000        0.0000        0.0000
  37720.2500  04/09/2003        0.0000       -0.0083        0.0000        0.0000        0.0000        0.0000
  37720.2917  04/09/2003        0.0000       -0.0966        0.0000        0.0000        0.0000        0.0000
  37720.3333  04/09/2003        0.0000       -0.4677        0.0000        0.0000        0.0000        0.0000
  37720.3750  04/09/2003        0.0000       -1.0150        0.0000        0.0000        0.0000        0.0000
  37720.4167  04/09/2003        0.0000       -1.5588        0.0000        0.0000        0.0000        0.0000
  37720.4583  04/09/2003        0.0000       -2.0177        0.0000        0.0000        0.0000        0.0000
  37720.5000  04/09/2003        0.0000       -2.3359        0.0000        0.0000        0.0000        0.0000
  37720.5417  04/09/2003        0.0000       -2.5393        0.0000        0.0000        0.0000        0.0000
  37720.5833  04/09/2003        0.0000       -2.6212        0.0000        0.0000        0.0000        0.0000
  37720.6250  04/09/2003        0.0000       -2.4186        0.0000        0.0000        0.0000        0.0000
  37720.6667  04/09/2003        0.0000       -1.9845        0.0000        0.0000        0.0000        0.0000
  37720.7083  04/09/2003        0.0000       -1.4123        0.0000        0.0000        0.0000        0.0000
  37720.7500  04/09/2003        0.0000       -0.7939        0.0000        0.0000        0.0000        0.0000
  37720.7917  04/09/2003        0.0000       -0.3904        0.0000        0.0000        0.0000        0.0000
  37720.8333  04/09/2003        0.0000       -0.2761        0.0000        0.0000        0.0000        0.0000
  37720.8750  04/09/2003        0.0000       -0.2256        0.0000        0.0000        0.0000        0.0000
  37720.9167  04/09/2003        0.0000       -0.1776        0.0000        0.0000        0.0000        0.0000
  37720.9583  04/09/2003        0.0000       -0.1621        0.0000        0.0000        0.0000        0.0000
  37721.0000  04/10/2003        0.0000       -0.1370        0.0000        0.0000        0.0000        0.0000
  37721.0417  04/10/2003        0.0000       -0.1015        0.0000        0.0000        0.0000        0.0000
  37721.0833  04/10/2003        0.0000       -0.0879        0.0000        0.0000        0.0000        0.0000
  37721.1250  04/10/2003        0.0000       -0.0751        0.0000        0.0000        0.0000        0.0000
  37721.1667  04/10/2003        0.0000       -0.0670        0.0000        0.0000        0.0000        0.0000
  37721.2083  04/10/2003        0.0000       -0.0610        0.0000        0.0000        0.0000        0.0000
  37721.2500  04/10/2003        0.0000       -0.0608        0.0000        0.0000        0.0000        0.0000
  37721.2917  04/10/2003        0.0000       -0.1621        0.0000        0.0000        0.0000        0.0000
  37721.3333  04/10/2003        0.0000       -0.6102        0.0000        0.0000        0.0000        0.0000
  37721.3750  04/10/2003        0.0000       -1.2799        0.0000        0.0000        0.0000        0.0000
  37721.4167  04/10/2003        0.0000       -1.9967        0.0000        0.0000        0.0000        0.0000
  37721.4583  04/10/2003        0.0000       -2.5736        0.0000        0.0000        0.0000        0.0000
  37721.5000  04/10/2003        0.0000       -2.9468        0.0000        0.0000        0.0000        0.0000
  37721.5417  04/10/2003        0.0000       -3.0515        0.0000        0.0000        0.0000        0.0000
  37721.5833  04/10/2003        0.0000       -2.8966        0.0000        0.0000        0.0000        0.0000
  37721.6250  04/10/2003        0.0000       -2.5326        0.0000        0.0000        0.0000        0.0000
  37721.6667  04/10/2003        0.0000       -1.9804        0.0000        0.0000        0.0000        0.0000
  37721.7083  04/10/2003        0.0000       -1.4020        0.0000        0.0000        0.0000        0.0000
  37721.7500  04/10/2003        0.0000       -0.7493        0.0000        0.0000        0.0000        0.0000
  37721.7917  04/10/2003        0.0000       -0.3731        0.0000        0.0000        0.0000        0.0000
  37721.8333  04/10/2003        0.0000       -0.3044        0.0000        0.0000        0.0000        0.0000
  37721.8750  04/10/2003        0.0000       -0.2272        0.0000        0.0000        0.0000        0.0000
  37721.9167  04/10/2003        0.0000       -0.1792        0.0000        0.0000        0.0000        0.0000
  37721.9583  04/10/2003        0.0000       -0.1693        0.0000        0.0000        0.0000        0.0000
  37722.0000  04/11/2003        0.0000       -0.1559        0.0000        0.0000        0.0000        0.0000
  37722.0417  04/11/2003        0.0000       -0.1616        0.0000        0.0000        0.0000        0.0000
  37722.0833  04/11/2003        0.0000       -0.1645        0.0000        0.0000        0.0000        0.0000
  37722.1250  04/11/2003        0.0000       -0.1543        0.0000        0.0000        0.0000        0.0000
  37722.1667  04/11/2003        0.0000       -0.1127        0.0000        0.0000        0.0000        0.0000
  37722.2083  04/11/2003        0.0000       -0.0816        0.0000        0.0000        0.0000        0.0000
  37722.2500  04/11/2003        0.0000       -0.0651        0.0000        0.0000        0.0000        0.0000
  37722.2917  04/11/2003        0.0000       -0.2022        0.0000        0.0000        0.0000        0.0000
  37722.3333  04/11/2003        0.0000       -0.7966        0.0000        0.0000        0.0000        0.0000
  37722.3750  04/11/2003        0.0000       -1.5202        0.0000        0.0000        0.0000        0.0000
  37722.4167  04/11/2003        0.0000       -2.1518        0.0000        0.0000        0.0000        0.0000
  37722.4583  04/11/2003        0.0000       -2.6264        0.0000        0.0000        0.0000        0.0000
  37722.5000  04/11/2003        0.0000       -2.9343        0.0000        0.0000        0.0000        0.0000
  37722.5417  04/11/2003        0.0000       -3.0509        0.0000        0.0000        0.0000        0.0000
  37722.5833  04/11/2003        0.0000       -2.8836        0.0000        0.0000        0.0000        0.0000
  37722.6250  04/11/2003        0.0000       -2.5534        0.0000        0.0000        0.0000        0.0000
  37722.6667  04/11/2003        0.0000       -2.0515        0.0000        0.0000        0.0000        0.0000
  37722.7083  04/11/2003        0.0000       -1.4062        0.0000        0.0000        0.0000        0.0000
  37722.7500  04/11/2003        0.0000       -0.8048        0.0000        0.0000        0.0000        0.0000
  37722.7917  04/11/2003        0.0000       -0.4629        0.0000        0.0000        0.0000        0.0000
  37722.8333  04/11/2003        0.0000       -0.3956        0.0000        0.0000        0.0000        0.0000
  37722.8750  04/11/2003        0.0000       -0.3321        0.0000        0.0000        0.0000        0.0000
  37722.9167  04/11/2003        0.0000       -0.2917        0.0000        0.0000        0.0000        0.0000
  37722.9583  04/11/2003        0.0000       -0.2488        0.0000        0.0000        0.0000        0.0000
  37723.0000  04/12/2003        0.0000       -0.2193        0.0000        0.0000        0.0000        0.0000
  37723.0417  04/12/2003        0.0000       -0.2228        0.0000        0.0000        0.0000        0.0000
  37723.0833  04/12/2003        0.0000       -0.2151        0.0000        0.0000        0.0000        0.0000
